Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,Matrix_Multiplication,In-Order,1.1,406.8,0.81,0,0.55,1.09,392.8,0.81
2,Matrix_Multiplication,In-Order,1.09,404.2,0.84,0,0.54,1.15,407.2,0.84
3,Matrix_Multiplication,In-Order,1.23,404.9,0.83,0,0.61,1.26,410.3,0.84
4,Matrix_Multiplication,In-Order,1.1,416.3,0.84,0,0.55,1.1,425.5,0.84
5,Matrix_Multiplication,In-Order,1.14,423.7,0.81,0,0.57,1.11,436.0,0.84
6,Matrix_Multiplication,In-Order,1.05,406.9,0.75,0,0.52,1.02,404.6,0.76
7,Matrix_Multiplication,In-Order,1.18,425.9,0.85,0,0.59,1.18,422.4,0.84
8,Matrix_Multiplication,In-Order,1.25,400.5,0.81,0,0.63,1.27,396.8,0.8
9,Matrix_Multiplication,In-Order,1.23,416.2,0.82,0,0.62,1.25,413.7,0.82
10,Matrix_Multiplication,In-Order,1.08,402.2,0.8,0,0.54,1.02,375.7,0.8
1,Matrix_Multiplication,In-Order,1.05,402.6,0.8,0,0.53,1.03,418.5,0.8
2,Matrix_Multiplication,In-Order,1.29,405.6,0.83,0,0.64,1.34,400.7,0.83
3,Matrix_Multiplication,In-Order,1.09,402.0,0.88,0,0.54,1.09,392.2,0.87
4,Matrix_Multiplication,In-Order,1.08,406.7,0.81,0,0.54,1.08,398.2,0.81
5,Matrix_Multiplication,In-Order,1.15,403.0,0.84,0,0.57,1.11,403.6,0.82
6,Matrix_Multiplication,In-Order,1.12,408.6,0.85,0,0.56,1.1,413.9,0.85
7,Matrix_Multiplication,In-Order,1.16,402.9,0.82,0,0.58,1.2,437.0,0.83
8,Matrix_Multiplication,In-Order,1.13,405.2,0.83,0,0.57,1.14,410.0,0.83
9,Matrix_Multiplication,In-Order,1.03,413.1,0.79,0,0.51,1.06,422.6,0.79
10,Matrix_Multiplication,In-Order,1.14,411.5,0.83,0,0.57,1.17,420.3,0.82
1,Matrix_Multiplication,In-Order,1.16,407.7,0.79,0,0.58,1.12,403.4,0.8
2,Matrix_Multiplication,In-Order,1.17,406.2,0.79,0,0.59,1.2,403.8,0.79
3,Matrix_Multiplication,In-Order,1.02,411.2,0.88,0,0.51,1.05,410.9,0.9
4,Matrix_Multiplication,In-Order,1.09,404.4,0.81,0,0.54,1.09,418.4,0.82
5,Matrix_Multiplication,In-Order,1.03,405.4,0.81,0,0.51,1.05,421.0,0.82
6,Matrix_Multiplication,In-Order,1.17,402.0,0.81,0,0.58,1.17,394.1,0.81
7,Matrix_Multiplication,In-Order,1.1,405.8,0.84,0,0.55,1.11,402.5,0.85
8,Matrix_Multiplication,In-Order,1.14,411.0,0.85,0,0.57,1.17,403.7,0.85
9,Matrix_Multiplication,In-Order,1.15,400.3,0.83,0,0.57,1.17,393.5,0.82
10,Matrix_Multiplication,In-Order,1.17,422.9,0.8,0,0.58,1.12,434.0,0.78
1,Matrix_Multiplication,In-Order,1.03,408.0,0.78,0,0.51,0.96,414.0,0.76
2,Matrix_Multiplication,In-Order,1.07,402.3,0.81,0,0.53,1.08,391.9,0.81
3,Matrix_Multiplication,In-Order,1.13,401.2,0.83,0,0.56,1.14,403.2,0.85
4,Matrix_Multiplication,In-Order,1.06,425.8,0.79,0,0.53,1.09,421.2,0.8
5,Matrix_Multiplication,In-Order,0.97,416.4,0.83,0,0.49,0.95,412.9,0.81
6,Matrix_Multiplication,In-Order,1.08,413.7,0.79,0,0.54,1.04,404.5,0.78
7,Matrix_Multiplication,In-Order,1.05,412.7,0.84,0,0.52,1.07,432.1,0.83
8,Matrix_Multiplication,In-Order,1.14,406.2,0.81,0,0.57,1.14,419.3,0.8
9,Matrix_Multiplication,In-Order,1.21,401.2,0.86,0,0.61,1.14,401.9,0.85
10,Matrix_Multiplication,In-Order,1.02,407.5,0.84,0,0.51,1.07,419.8,0.86
