Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,Convolution,In-Order,2.54,299.4,0.89,0,1.27,2.53,307.0,0.91
2,Convolution,In-Order,2.55,310.7,0.88,0,1.27,2.52,312.4,0.88
3,Convolution,In-Order,2.41,323.7,0.9,0,1.2,2.38,309.3,0.91
4,Convolution,In-Order,2.39,312.9,0.87,0,1.2,2.42,304.0,0.86
5,Convolution,In-Order,2.43,298.0,0.89,0,1.22,2.46,289.3,0.91
6,Convolution,In-Order,2.52,327.5,0.92,0,1.26,2.49,327.4,0.91
7,Convolution,In-Order,2.5,321.3,0.9,0,1.25,2.56,323.6,0.9
8,Convolution,In-Order,2.5,295.1,0.89,0,1.25,2.48,296.0,0.9
9,Convolution,In-Order,2.52,314.9,0.93,0,1.26,2.51,308.2,0.93
10,Convolution,In-Order,2.46,320.7,0.87,0,1.23,2.43,315.5,0.89
1,Convolution,In-Order,2.49,313.0,0.95,0,1.25,2.46,310.4,0.95
2,Convolution,In-Order,2.33,326.6,0.92,0,1.16,2.32,300.9,0.93
3,Convolution,In-Order,2.36,327.5,0.93,0,1.18,2.35,315.3,0.92
4,Convolution,In-Order,2.6,305.0,0.92,0,1.3,2.6,299.6,0.92
5,Convolution,In-Order,2.68,324.1,0.91,0,1.34,2.71,333.0,0.92
6,Convolution,In-Order,2.56,327.1,0.89,0,1.28,2.55,320.2,0.88
7,Convolution,In-Order,2.6,294.2,0.89,0,1.3,2.65,292.2,0.89
8,Convolution,In-Order,2.49,300.7,0.89,0,1.25,2.47,305.2,0.9
9,Convolution,In-Order,2.57,294.2,0.9,0,1.28,2.57,298.6,0.91
10,Convolution,In-Order,2.46,315.7,0.88,0,1.23,2.56,304.6,0.89
1,Convolution,In-Order,2.5,305.1,0.89,0,1.25,2.5,313.8,0.91
2,Convolution,In-Order,2.41,311.0,0.87,0,1.21,2.41,324.0,0.88
3,Convolution,In-Order,2.47,307.3,0.87,0,1.24,2.43,294.4,0.9
