Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,Radix,In-Order,2.41,277.7,0.87,0,1.21,2.44,286.2,0.87
2,Radix,In-Order,2.4,305.9,0.87,0,1.2,2.4,306.8,0.86
3,Radix,In-Order,2.49,313.8,0.88,0,1.25,2.47,307.5,0.86
4,Radix,In-Order,2.45,295.3,0.87,0,1.22,2.48,289.4,0.88
5,Radix,In-Order,2.42,294.6,0.88,0,1.21,2.42,289.7,0.89
6,Radix,In-Order,2.36,298.3,0.89,0,1.18,2.34,298.9,0.89
7,Radix,In-Order,2.44,310.4,0.89,0,1.22,2.45,307.6,0.89
8,Radix,In-Order,2.41,299.0,0.88,0,1.21,2.41,292.1,0.9
9,Radix,In-Order,2.41,291.7,0.88,0,1.2,2.41,293.7,0.88
10,Radix,In-Order,2.42,290.8,0.89,0,1.21,2.4,292.3,0.88
1,Radix,In-Order,2.42,309.6,0.89,0,1.21,2.39,305.8,0.89
2,Radix,In-Order,2.36,299.1,0.88,0,1.18,2.35,294.3,0.88
3,Radix,In-Order,2.42,301.0,0.88,0,1.21,2.43,301.2,0.88
4,Radix,In-Order,2.45,312.0,0.89,0,1.23,2.47,308.8,0.9
5,Radix,In-Order,2.45,300.6,0.89,0,1.22,2.44,298.5,0.87
6,Radix,In-Order,2.45,299.8,0.88,0,1.22,2.47,307.2,0.88
7,Radix,In-Order,2.36,305.6,0.87,0,1.18,2.36,308.8,0.89
8,Radix,In-Order,2.41,299.3,0.89,0,1.21,2.41,302.7,0.89
9,Radix,In-Order,2.39,326.6,0.89,0,1.2,2.41,323.0,0.89
10,Radix,In-Order,2.43,301.3,0.88,0,1.22,2.44,299.7,0.87
1,Radix,In-Order,2.42,283.1,0.88,0,1.21,2.41,277.0,0.88
2,Radix,In-Order,2.38,293.8,0.89,0,1.19,2.38,301.7,0.89
3,Radix,In-Order,2.32,296.9,0.88,0,1.16,2.32,303.8,0.88
4,Radix,In-Order,2.43,284.3,0.89,0,1.22,2.44,279.2,0.89
5,Radix,In-Order,2.37,296.2,0.87,0,1.19,2.37,283.9,0.87
6,Radix,In-Order,2.42,314.6,0.87,0,1.21,2.42,322.6,0.85
7,Radix,In-Order,2.39,300.5,0.88,0,1.2,2.36,297.7,0.87
8,Radix,In-Order,2.41,288.4,0.89,0,1.21,2.43,294.0,0.9
9,Radix,In-Order,2.4,303.7,0.88,0,1.2,2.42,304.2,0.87
10,Radix,In-Order,2.44,314.3,0.87,0,1.22,2.44,306.1,0.86
1,Radix,In-Order,2.42,309.0,0.87,0,1.21,2.44,311.2,0.87
2,Radix,In-Order,2.38,291.4,0.89,0,1.19,2.39,289.0,0.88
3,Radix,In-Order,2.35,280.0,0.89,0,1.18,2.34,272.9,0.89
4,Radix,In-Order,2.46,318.4,0.89,0,1.23,2.47,316.9,0.9
5,Radix,In-Order,2.35,285.2,0.89,0,1.18,2.35,286.0,0.91
6,Radix,In-Order,2.41,336.4,0.89,0,1.21,2.38,331.3,0.89
7,Radix,In-Order,2.47,313.2,0.89,0,1.23,2.48,316.8,0.89
8,Radix,In-Order,2.42,312.9,0.88,0,1.21,2.4,303.7,0.88
9,Radix,In-Order,2.45,313.6,0.88,0,1.23,2.44,310.5,0.88
10,Radix,In-Order,2.46,298.4,0.88,0,1.23,2.47,296.4,0.89
1,Radix,In-Order,2.36,307.8,0.87,0,1.18,2.36,301.9,0.87
2,Radix,In-Order,2.41,313.4,0.89,0,1.2,2.42,319.4,0.9
3,Radix,In-Order,2.32,296.1,0.89,0,1.16,2.34,298.0,0.89
4,Radix,In-Order,2.4,264.9,0.89,0,1.2,2.42,267.1,0.88
5,Radix,In-Order,2.48,290.9,0.89,0,1.24,2.44,293.7,0.88
6,Radix,In-Order,2.37,294.6,0.89,0,1.19,2.4,288.6,0.88
7,Radix,In-Order,2.4,274.9,0.89,0,1.2,2.38,280.4,0.89
8,Radix,In-Order,2.38,311.6,0.88,0,1.19,2.36,312.0,0.88
9,Radix,In-Order,2.38,312.9,0.87,0,1.19,2.4,316.4,0.88
10,Radix,In-Order,2.41,280.6,0.88,0,1.21,2.43,277.0,0.88
1,Radix,In-Order,2.39,289.6,0.88,0,1.2,2.39,276.7,0.87
2,Radix,In-Order,2.38,284.1,0.89,0,1.19,2.37,274.2,0.88
3,Radix,In-Order,2.36,303.4,0.88,0,1.18,2.36,302.4,0.88
4,Radix,In-Order,2.4,297.8,0.88,0,1.2,2.34,302.8,0.88
5,Radix,In-Order,2.4,303.3,0.89,0,1.2,2.37,293.5,0.9
6,Radix,In-Order,2.34,294.8,0.87,0,1.17,2.39,298.1,0.86
7,Radix,In-Order,2.35,301.5,0.87,0,1.18,2.33,300.0,0.87
8,Radix,In-Order,2.46,292.8,0.87,0,1.23,2.44,299.2,0.87
9,Radix,In-Order,2.43,299.8,0.87,0,1.21,2.39,301.7,0.87
10,Radix,In-Order,2.46,276.9,0.87,0,1.23,2.5,281.2,0.87
1,Radix,In-Order,2.38,308.6,0.88,0,1.19,2.36,302.9,0.89
2,Radix,In-Order,2.42,299.4,0.87,0,1.21,2.37,292.9,0.86
3,Radix,In-Order,2.36,313.5,0.89,0,1.18,2.35,305.4,0.89
4,Radix,In-Order,2.34,298.5,0.88,0,1.17,2.35,314.7,0.88
5,Radix,In-Order,2.34,296.8,0.88,0,1.17,2.35,290.6,0.88
6,Radix,In-Order,2.48,299.0,0.87,0,1.24,2.49,298.8,0.87
7,Radix,In-Order,2.4,296.1,0.88,0,1.2,2.41,301.0,0.88
8,Radix,In-Order,2.4,294.7,0.88,0,1.2,2.4,302.4,0.88
9,Radix,In-Order,2.4,292.2,0.89,0,1.2,2.42,299.2,0.89
10,Radix,In-Order,2.43,328.0,0.89,0,1.21,2.45,316.4,0.9
1,Radix,In-Order,2.43,291.5,0.88,0,1.22,2.44,286.9,0.88
2,Radix,In-Order,2.37,316.4,0.88,0,1.18,2.38,328.4,0.88
3,Radix,In-Order,2.38,307.3,0.87,0,1.19,2.38,297.4,0.87
4,Radix,In-Order,2.42,289.5,0.87,0,1.21,2.43,283.9,0.88
5,Radix,In-Order,2.41,289.1,0.88,0,1.2,2.4,295.5,0.88
6,Radix,In-Order,2.34,286.2,0.88,0,1.17,2.32,279.0,0.91
7,Radix,In-Order,2.47,281.5,0.88,0,1.24,2.45,285.0,0.88
8,Radix,In-Order,2.38,327.4,0.88,0,1.19,2.39,331.3,0.89
9,Radix,In-Order,2.4,291.0,0.88,0,1.2,2.42,300.5,0.87
10,Radix,In-Order,2.36,299.1,0.87,0,1.18,2.35,294.8,0.87
1,Radix,In-Order,2.42,281.9,0.89,0,1.21,2.46,282.7,0.9
2,Radix,In-Order,2.37,302.9,0.89,0,1.19,2.39,297.7,0.88
3,Radix,In-Order,2.44,296.9,0.88,0,1.22,2.4,292.4,0.88
4,Radix,In-Order,2.42,302.3,0.88,0,1.21,2.4,295.6,0.89
5,Radix,In-Order,2.37,300.3,0.88,0,1.19,2.38,305.7,0.88
6,Radix,In-Order,2.45,299.8,0.88,0,1.22,2.46,302.7,0.89
7,Radix,In-Order,2.42,307.0,0.88,0,1.21,2.46,289.4,0.89
8,Radix,In-Order,2.33,288.9,0.89,0,1.16,2.31,281.0,0.88
9,Radix,In-Order,2.38,278.3,0.88,0,1.19,2.38,278.8,0.88
10,Radix,In-Order,2.46,306.2,0.89,0,1.23,2.49,306.9,0.89
1,Radix,In-Order,2.47,297.5,0.89,0,1.24,2.47,282.0,0.89
2,Radix,In-Order,2.33,305.1,0.89,0,1.17,2.32,306.1,0.89
3,Radix,In-Order,2.43,306.9,0.87,0,1.22,2.41,313.3,0.87
4,Radix,In-Order,2.44,308.1,0.87,0,1.22,2.46,315.0,0.88
5,Radix,In-Order,2.38,308.0,0.88,0,1.19,2.38,309.0,0.89
6,Radix,In-Order,2.44,282.6,0.89,0,1.22,2.46,271.2,0.9
7,Radix,In-Order,2.35,296.1,0.88,0,1.17,2.32,288.7,0.89
8,Radix,In-Order,2.37,293.4,0.88,0,1.19,2.4,298.4,0.89
9,Radix,In-Order,2.43,307.2,0.88,0,1.21,2.47,303.1,0.88
10,Radix,In-Order,2.38,313.5,0.88,0,1.19,2.38,318.0,0.88
1,Radix,In-Order,2.4,304.9,0.88,0,1.2,2.37,319.3,0.88
2,Radix,In-Order,2.39,325.7,0.89,0,1.19,2.4,316.5,0.9
3,Radix,In-Order,2.39,302.3,0.87,0,1.19,2.41,305.4,0.87
4,Radix,In-Order,2.38,300.1,0.88,0,1.19,2.38,295.3,0.89
5,Radix,In-Order,2.4,296.4,0.89,0,1.2,2.36,295.2,0.9
6,Radix,In-Order,2.41,313.6,0.88,0,1.2,2.42,314.4,0.87
7,Radix,In-Order,2.46,292.8,0.89,0,1.23,2.48,289.6,0.9
8,Radix,In-Order,2.46,295.5,0.87,0,1.23,2.49,293.6,0.86
9,Radix,In-Order,2.38,299.2,0.88,0,1.19,2.41,303.4,0.88
10,Radix,In-Order,2.33,324.8,0.88,0,1.16,2.35,332.3,0.88
1,Radix,In-Order,2.41,288.2,0.88,0,1.2,2.41,291.2,0.89
2,Radix,In-Order,2.36,319.4,0.88,0,1.18,2.35,323.5,0.86
3,Radix,In-Order,2.38,288.5,0.88,0,1.19,2.36,288.4,0.88
4,Radix,In-Order,2.37,292.0,0.89,0,1.19,2.34,280.8,0.89
5,Radix,In-Order,2.41,280.8,0.88,0,1.2,2.41,279.1,0.88
6,Radix,In-Order,2.4,300.4,0.87,0,1.2,2.37,301.7,0.88
7,Radix,In-Order,2.42,315.8,0.89,0,1.21,2.44,318.5,0.89
8,Radix,In-Order,2.45,302.4,0.87,0,1.22,2.45,303.0,0.87
9,Radix,In-Order,2.34,304.0,0.88,0,1.17,2.31,307.2,0.88
10,Radix,In-Order,2.38,300.3,0.88,0,1.19,2.35,300.1,0.88
1,Radix,In-Order,2.28,300.0,0.88,0,1.14,2.31,302.3,0.87
2,Radix,In-Order,2.46,306.8,0.89,0,1.23,2.52,307.8,0.88
3,Radix,In-Order,2.39,315.4,0.87,0,1.2,2.35,313.2,0.88
4,Radix,In-Order,2.4,287.6,0.87,0,1.2,2.43,288.3,0.88
5,Radix,In-Order,2.42,279.9,0.88,0,1.21,2.4,274.1,0.87
6,Radix,In-Order,2.42,314.2,0.89,0,1.21,2.41,321.8,0.89
7,Radix,In-Order,2.4,308.9,0.88,0,1.2,2.43,317.5,0.89
8,Radix,In-Order,2.47,293.5,0.87,0,1.23,2.46,291.0,0.86
