Iteration,Algorithm,Core_Type,IPC,Memory_Usage,Cache_Hit_Rate
1,LU,In-Order,0.98,522.2,0.71
1,Matrix_Multiplication,In-Order,1.43,585.4,0.71
1,Matrix_Multiplication,In-Order,1.4,588.8,0.72
1,LU,Out-of-Order,1.3,539.9,0.8
1,Radix,Out-of-Order,1.14,358.5,0.79
1,Convolution,In-Order,1.08,394.0,0.72
1,Matrix_Multiplication,Out-of-Order,1.29,467.8,0.8
1,Matrix_Multiplication,Out-of-Order,1.74,496.6,0.81
1,FFT,Out-of-Order,1.35,408.0,0.79
1,Convolution,In-Order,1.43,490.0,0.72
1,LU,In-Order,0.85,369.3,0.71
1,Radix,In-Order,0.84,484.2,0.7
1,FFT,Out-of-Order,1.31,424.2,0.8
1,Convolution,In-Order,0.84,552.2,0.72
1,LU,Out-of-Order,1.21,529.8,0.8
1,LU,In-Order,0.85,550.5,0.69
1,FFT,In-Order,1.11,435.1,0.7
1,Convolution,In-Order,1.12,502.4,0.72
1,FFT,In-Order,0.81,376.9,0.72
1,FFT,In-Order,0.89,321.6,0.7
1,FFT,Out-of-Order,1.52,407.1,0.81
1,Matrix_Multiplication,Out-of-Order,1.48,566.5,0.81
1,Radix,Out-of-Order,1.74,374.5,0.82
1,LU,Out-of-Order,1.0,579.1,0.79
1,Radix,In-Order,1.21,521.0,0.7
1,Matrix_Multiplication,In-Order,1.49,316.4,0.71
1,Matrix_Multiplication,In-Order,1.14,579.8,0.7
1,Matrix_Multiplication,In-Order,0.82,444.5,0.69
1,Matrix_Multiplication,In-Order,0.98,379.8,0.72
1,LU,In-Order,1.11,346.0,0.69
1,LU,Out-of-Order,1.61,490.5,0.82
1,Matrix_Multiplication,In-Order,1.33,446.9,0.71
1,LU,Out-of-Order,1.27,318.4,0.81
1,LU,In-Order,1.07,312.7,0.69
1,Convolution,In-Order,1.07,365.1,0.7
1,LU,In-Order,0.93,578.8,0.71
1,LU,In-Order,0.97,403.8,0.73
1,LU,Out-of-Order,1.47,462.7,0.83
1,LU,In-Order,1.1,543.4,0.71
1,Convolution,In-Order,1.32,319.6,0.73
1,Radix,In-Order,0.94,550.2,0.71
1,LU,Out-of-Order,1.47,455.7,0.81
1,Convolution,Out-of-Order,1.73,348.6,0.82
1,LU,Out-of-Order,1.5,592.1,0.81
1,LU,In-Order,1.35,447.2,0.73
1,Radix,Out-of-Order,1.74,321.1,0.82
1,Radix,Out-of-Order,1.2,466.1,0.81
1,Convolution,Out-of-Order,1.49,521.7,0.82
1,Convolution,In-Order,0.86,543.0,0.71
1,Radix,In-Order,0.95,465.8,0.7
1,FFT,In-Order,0.94,370.0,0.73
1,Radix,Out-of-Order,1.76,447.0,0.82
1,LU,In-Order,1.25,571.9,0.73
1,Convolution,Out-of-Order,1.77,326.5,0.83
1,LU,Out-of-Order,1.54,460.9,0.81
1,Convolution,Out-of-Order,1.28,472.8,0.8
1,FFT,In-Order,1.41,575.3,0.7
1,Radix,In-Order,1.41,565.8,0.69
1,Convolution,In-Order,1.45,474.6,0.69
1,LU,Out-of-Order,1.39,428.0,0.8
1,Matrix_Multiplication,In-Order,0.94,316.9,0.73
1,Matrix_Multiplication,Out-of-Order,1.48,540.1,0.8
1,Convolution,In-Order,0.81,436.5,0.72
